Date,Adj Close
27.06.2007,42.44
28.06.2007,42.03
29.06.2007,41.96
02.07.2007,42.47
03.07.2007,42.48
05.07.2007,42.33
06.07.2007,42.51
09.07.2007,42.27
10.07.2007,41.61
11.07.2007,41.92
12.07.2007,42.69
13.07.2007,42.91
16.07.2007,43.06
17.07.2007,43.11
18.07.2007,43.15
19.07.2007,43.53
20.07.2007,43.06
23.07.2007,43.39
24.07.2007,42.61
25.07.2007,42.12
26.07.2007,40.91
27.07.2007,40.3
30.07.2007,40
31.07.2007,39.57
01.08.2007,39.9
02.08.2007,40.49
03.08.2007,40.1
06.08.2007,40.88
07.08.2007,41.1
08.08.2007,41.57
09.08.2007,41.27
10.08.2007,40.84
13.08.2007,40.26
14.08.2007,39.67
15.08.2007,39.31
16.08.2007,39.73
17.08.2007,39.32
20.08.2007,39.91
21.08.2007,40.06
22.08.2007,40.8
23.08.2007,41.2
24.08.2007,41.43
27.08.2007,40.89
28.08.2007,40.2
29.08.2007,40.66
30.08.2007,40.36
31.08.2007,40.71
04.09.2007,41.05
05.09.2007,40.7
06.09.2007,41.13
07.09.2007,40.7
10.09.2007,41.45
11.09.2007,42.78
12.09.2007,42.32
13.09.2007,44.88
14.09.2007,45.83
17.09.2007,45.16
18.09.2007,45.48
19.09.2007,45.8
20.09.2007,45.35
21.09.2007,45.3
24.09.2007,45.43
25.09.2007,44.76
26.09.2007,45.3
27.09.2007,45.1
28.09.2007,45.02
01.10.2007,46.3
02.10.2007,46.25
03.10.2007,46.38
04.10.2007,46.32
05.10.2007,46.59
08.10.2007,47.01
09.10.2007,47.43
10.10.2007,47.14
11.10.2007,46.49
12.10.2007,47.13
15.10.2007,46.44
16.10.2007,46.96
17.10.2007,47.08
18.10.2007,46.94
19.10.2007,46.63
22.10.2007,46.3
23.10.2007,47.09
24.10.2007,47.24
25.10.2007,48
26.10.2007,48.33
29.10.2007,48.92
30.10.2007,48.92
31.10.2007,49.39
01.11.2007,48.77
02.11.2007,48.78
05.11.2007,49.32
06.11.2007,49.38
07.11.2007,48.25
08.11.2007,49.07
09.11.2007,48.2
12.11.2007,48.39
13.11.2007,48.44
14.11.2007,48.1
15.11.2007,48.51
16.11.2007,49.31
19.11.2007,49.71
20.11.2007,49.61
21.11.2007,48.63
23.11.2007,48.96
26.11.2007,48.2
27.11.2007,48.74
28.11.2007,49.18
29.11.2007,49.5
30.11.2007,49.6
03.12.2007,50.75
04.12.2007,50.92
05.12.2007,50.48
06.12.2007,51.13
07.12.2007,51.03
10.12.2007,52.51
11.12.2007,53.55
12.12.2007,52.31
13.12.2007,52.18
14.12.2007,51.88
17.12.2007,50.69
18.12.2007,50.75
19.12.2007,49.92
20.12.2007,49.87
21.12.2007,50.92
24.12.2007,51.16
26.12.2007,50.8
27.12.2007,50.21
28.12.2007,50.47
31.12.2007,49.97
02.01.2008,49.29
03.01.2008,49.14
04.01.2008,48.39
07.01.2008,49.23
08.01.2008,48.42
09.01.2008,48.75
10.01.2008,49.34
11.01.2008,46.08
14.01.2008,46.62
15.01.2008,45.6
16.01.2008,44.46
17.01.2008,44.09
18.01.2008,44.45
22.01.2008,44.49
23.01.2008,44.97
24.01.2008,45.81
25.01.2008,45.89
28.01.2008,43.32
29.01.2008,43.05
30.01.2008,43.27
31.01.2008,45.45
01.02.2008,45.99
04.02.2008,45.71
05.02.2008,45.67
06.02.2008,45.58
07.02.2008,46.2
08.02.2008,47.2
11.02.2008,47.49
12.02.2008,47.82
13.02.2008,48.05
14.02.2008,47.15
15.02.2008,46.91
19.02.2008,47.22
20.02.2008,47.67
21.02.2008,46.85
22.02.2008,47.24
25.02.2008,47.55
26.02.2008,47.89
27.02.2008,46.94
28.02.2008,46.65
29.02.2008,46.21
03.03.2008,45.4
04.03.2008,45.8
05.03.2008,46.07
06.03.2008,45.3
07.03.2008,44.64
10.03.2008,45.95
11.03.2008,46.33
12.03.2008,45.86
13.03.2008,46.88
14.03.2008,46.79
17.03.2008,46.36
18.03.2008,46.85
19.03.2008,45.83
20.03.2008,46.48
24.03.2008,47.63
25.03.2008,48
26.03.2008,47.49
27.03.2008,47.36
28.03.2008,47.38
31.03.2008,47.63
01.04.2008,48.61
02.04.2008,48.39
03.04.2008,48.03
04.04.2008,47.59
07.04.2008,47.53
08.04.2008,47.72
09.04.2008,47.61
10.04.2008,47.7
11.04.2008,47.32
14.04.2008,47.44
15.04.2008,47.79
